page,tier,code,label,ps,mooe,co,total
25,2,,Regional Office IVA - Proper,,35602000,457000,36059000
25,1,,Region IVB - MIMAROPA,,32697000,457000,33154000
25,2,,MIMAROPA Regional Office - Proper,,32697000,457000,33154000
25,1,,Region V - Bicol,,53056000,457000,53513000
25,2,,Regional Office V - Proper,,53056000,457000,53513000
25,1,,Region VI - Western Visayas,,39643000,457000,40100000
25,2,,Regional Office VI - Proper,,39643000,457000,40100000
25,1,,Region VII - Central Visayas,,29762000,457000,30219000
25,2,,Regional Office VII - Proper,,29762000,457000,30219000
25,1,,Region VIII - Eastern Visayas,,24030000,457000,24487000
25,2,,Regional Office VIII - Proper,,24030000,457000,24487000
25,1,,Region IX - Zamboanga Peninsula,,,457000,457000
25,2,,Regional Office IX - Proper,,,457000,457000
25,1,,Region X - Northern Mindanao,,39168000,457000,39625000
25,2,,Regional Office X - Proper,,39168000,457000,39625000
25,1,,Region XI - Davao,,23434000,457000,23891000
25,2,,Regional Office XI - Proper,,23434000,457000,23891000
25,1,,Region XII - SOCCSKSARGEN,,44990000,457000,45447000
25,2,,Regional Office XII - Proper,,44990000,457000,45447000
25,1,,Region XIII - CARAGA,,27164000,457000,27621000
25,2,,Regional Office XIII - Proper,,27164000,457000,27621000
26,1,200000100025000,"Testing Materials Needed in Road, Bridge and Building Construction and Other Public Works Projects",,187188000,2432000,189620000
26,1,,National Capital Region (NCR),,13958000,152000,14110000
26,2,,NCR Regional Office - Proper,,13958000,152000,14110000
26,1,,Region I - Ilocos,,,152000,152000
26,2,,Regional Office I - Proper,,,152000,152000
26,1,,Cordillera Administrative Region (CAR),,5950000,152000,6102000
26,2,,Regional Office CAR - Proper,,5950000,152000,6102000
26,1,,Region II - Cagayan Valley,,31528000,152000,31680000
26,2,,Regional Office II - Proper,,31528000,152000,31680000
26,1,,Region III - Central Luzon,,,152000,152000
26,2,,Regional Office III - Proper,,,152000,152000
26,1,,Region IVA - CALABARZON,,11249000,152000,11401000
26,2,,Regional Office IVA - Proper,,11249000,152000,11401000
26,1,,Region IVB - MIMAROPA,,13130000,152000,13282000
26,2,,MIMAROPA Regional Office - Proper,,13130000,152000,13282000
26,1,,Region V - Bicol,,17052000,152000,17204000
26,2,,Regional Office V - Proper,,17052000,152000,17204000
26,1,,Region VI - Western Visayas,,8791000,152000,8943000
26,2,,Regional Office VI - Proper,,8791000,152000,8943000
26,1,,Region VII - Central Visayas,,20011000,152000,20163000
26,2,,Regional Office VII - Proper,,20011000,152000,20163000
26,1,,Region VIII - Eastern Visayas,,7741000,152000,7893000
26,2,,Regional Office VIII - Proper,,7741000,152000,7893000
26,1,,Region IX - Zamboanga Peninsula,,,152000,152000
26,2,,Regional Office IX - Proper,,,152000,152000
27,1,,Region X - Northern Mindanao,17629000,152000,,17781000
27,2,,Regional Office X - Proper,17629000,152000,,17781000
27,1,,Region XI - Davao,8757000,152000,,8909000
27,2,,Regional Office XI - Proper,8757000,152000,,8909000
27,1,,Region XII - SOCCSKSARGEN,11530000,152000,,11682000
