page,tier,label,amounts
126,6,Bukidnon 1st District Engineering Office,6915000
126,6,Bukidnon 2nd District Engineering Office,4660000
126,6,Bukidnon 3rd District Engineering Office,5544000
126,6,Bukidnon 4th District Engineering Office,2350000
126,6,Cagayan de Oro City 1st District Engineering Office,3129000
126,6,Cagayan de Oro City 2nd District Engineering Office,6540000
126,6,Camiguin District Engineering Office,2083000
126,6,Lanao del Norte 1st District Engineering Office,5924000
126,6,Lanao del Norte 2nd District Engineering Office,3378000
126,6,Iligan City District Engineering Office,4772000
126,6,Misamis Occidental 1st District Engineering Office,9157000
126,6,Misamis Occidental 2nd District Engineering Office,5020000
126,6,Misamis Oriental 1st District Engineering Office,7629000
126,6,Misamis Oriental 2nd District Engineering Office,10632000
126,5,Region XI,65195000
126,6,Davao City District Engineering Office,3349000
126,6,Davao City 2nd District Engineering Office,3614000
126,6,Davao City 3rd District Engineering Office,1948000
126,6,Davao de Oro 1st District Engineering Office,5034000
126,6,Davao de Oro 2nd District Engineering Office,5617000
126,6,Davao del Norte District Engineering Office,7814000
126,6,Davao del Norte 2nd District Engineering Office,4926000
126,6,Davao del Sur District Engineering Office,3104000
126,6,Davao Occidental District Engineering Office,10093000
126,6,Davao Oriental 1st District Engineering Office,12352000
126,6,Davao Oriental 2nd District Engineering Office,7344000
126,5,Region XII,42729000
127,6,Cotabato 1st District Engineering Office,2301000
127,6,Cotabato 2nd District Engineering Office,8008000
127,6,Cotabato 3rd District Engineering Office,5431000
127,6,Sultan Kudarat 1st District Engineering Office,3217000
127,6,Sultan Kudarat 2nd District Engineering Office,7686000
127,6,Sarangani District Engineering Office,9556000
127,6,South Cotabato 1st District Engineering Office,4391000
127,6,South Cotabato 2nd District Engineering Office,2139000
127,5,Region XIII,96020000
127,6,Agusan del Norte District Engineering Office,11839000
127,6,Butuan City District Engineering Office,21020000
127,6,Agusan del Sur 1st District Engineering Office,13492000
127,6,Agusan del Sur 2nd District Engineering Office,9588000
127,6,Surigao del Norte 1st District Engineering Office,1730000
127,6,Surigao del Norte 2nd District Engineering Office,11299000
127,6,Dinagat Islands District Engineering Office,2595000
127,6,Surigao del Sur 1st District Engineering Office,19247000
127,6,Surigao del Sur 2nd District Engineering Office,5210000
127,5,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),27333000
127,6,Regional Office IX,5270000
127,6,Regional Office X,6571000
127,6,Regional Office XII,15492000
127,4,Repair and Maintenance of Road Safety Facilities,2309297000
127,5,National Capital Region,117165000
127,6,North Manila District Engineering Office,13155000
127,6,South Manila District Engineering Office,18643000
127,6,Metro Manila 1st District Engineering Office,21530000
127,6,Metro Manila 2nd District Engineering Office,12061000
127,6,Las Pi ñ as-Muntinlupa District Engineering Office,6139000
127,6,Metro Manila 3rd District Engineering Office,6704000
127,6,Malabon-Navotas District Engineering Office,2272000
127,6,Quezon City 1st District Engineering Office,19559000
127,6,Quezon City 2nd District Engineering Office,17102000
127,5,Region I,147105000
127,6,Ilocos Norte 1st District Engineering Office,16033000
127,6,Ilocos Norte 2nd District Engineering Office,14658000
127,6,Ilocos Sur 1st District Engineering Office,8776000
128,6,Ilocos Sur 2nd District Engineering Office,20889000
128,6,La Union 1st District Engineering Office,11939000
128,6,La Union 2nd District Engineering Office,12750000
128,6,Pangasinan 1st District Engineering Office,14863000
128,6,Pangasinan 2nd District Engineering Office,16389000
128,6,Pangasinan 3rd District Engineering Office,19245000
128,6,Pangasinan 4th District Engineering Office,11563000
128,5,Cordillera Administrative Region,120237000
128,6,Abra District Engineering Office,16232000
128,6,Apayao 1st District Engineering Office,4325000
128,6,Apayao 2nd District Engineering Office,8645000
